"key","value"
"Achenio","Frutto secco con un involucro (pericarpo) più o meno indurito (talvolta anche legnoso) e che contiene un unico seme che è distinto dal pericarpo stesso. Il frutto è detto indeiscente in quanto a maturazione il seme non ne fuoriesce."
"Actinomorfo","Organo simmetrico regolare, divisibile in due metà specularmente uguali su ambedue i piani."
"Alofita","Pianta che tollera alte concentrazioni di sali nel suolo, come quelle che vivono nelle acque marine o salmastre."
"Amento","In botanica, con il termine amento si intende un insieme di fiori disposti a grappolo, generalmente pensili. L'''amento consiste in una spiga articolata dalla sua base e composta di fiori di uno stesso sesso, poiché ci sono amenti maschili, più allungati, e amenti femminili. I fiori sono semplici, senza petali né sepali, i maschili sono ridotti agli stami e i femminili allo stigma. Gli amenti appaiono in primavera, generalmente prima delle foglie."
"Amplessicaule","Foglia che abbraccia completamente il fusto."
"Annua","Pianta che vive un solo anno e trascorre la stagione avversa sotto forma di seme."
"Antera","Parte apicale degli stami entro la quale sta il polline."
"Arbusto","Pianta a fusto legnoso, ramificato alla base e con i rami persistenti."
"Arillo","Polpa che copre più o meno completamente il seme."
"Ascella","Spazio compreso tra la foglia alla sua inserzione e il fusto."
"Assurgente","Che si eleva o innalza."
"Avventizia","Termine anche usato anche per organi vegetali originati in posizione atipica come la radice prodotta da un fusto in posizione aerea o in acqua, o quella prodotta da foglie, o anche come le gemme accidentali che si formano in seguito ad una ferita in posizioni diverse da quelle tipiche."
"Bacca","Frutto carnoso, rotondeggiante, contenente più semi."
"Bienne","Pianta che vive due anni."
"Brattea","Foglia ridotta e modificata alla base del peduncolo fiorale."
"Bulbo","Organo sotterraneo portante gemme, in generale una apicale, con contorno di squame carnose o coriacee in varie serie."
"Calice","Involucro esterno del fiore costituito da un insieme di sepali."
"Capolini","Infiorescenza formata da fiori sessili inseriti su un ricettacolo comune (Compositae)."
"Capsula","Organo contenente in genere parecchi semi, che fuoriescono attraverso l'apertura del coperchietto, di valve o di fori."
"Carminativa","Capace di favorire l'espulsione di gas intestinali."
"Carpello","Foglia trasformata che costituisce la parte femminile del fiore; insieme dell'ovario, dello stimma e dello stilo."
"Cataplasma","Impiastro che si applica caldo sulla parte malata."
"Caule","Fusto."
"Cespitosa","Formante un cespuglietto per i numerosi getti radicali che rimangono appressati."
"Ciclico","Verticillato."
"Cirri","Organo con proprietà di avvolgersi ad un corpo vicino che serve da sostegno alla pianta stessa (anche Viticcio)."
"Cladodi","Rami schiacciati o cilindrici, somiglianti a foglie, di cui fanno le veci."
"Cocche","Parte che si stacca a maturità da un frutto policocco."
"Colagoga","Che favorisce la secrezione della bile."
"Coleretica","Favorisce l'afflusso di bile all'intestino."
"Colletto","Si definisce colletto di una pianta la zona di passaggio fra il fusto e la radice a livello del terreno. È una zona specializzata che consente di resistere alla pressione del terreno circostante."
"Cordata","A forma di cuore."
"Corimbo","Infiorescenza in cui i peduncoli dei fiori partono da punti diversi ma raggiungono tutti la stessa altezza."
"Corolla","Involucro fiorale variamente colorato."
"Culmo","Fusto di Graminaceae con internodi generalmente cavi e con nodi pieni."
"Deiscenti","Si definiscono deiscenti i frutti che a maturità si aprono spontaneamente per far fuoriuscire i semi (per esempio sono deiscenti i frutti del  castagno e del melograno). Si dicono indeiscenti i frutti che a maturità non si aprono spontaneamente per liberare i semi, e che permangono fino alla germinazione o si distruggono per marcescenza."
"Dioica","Pianta che presenta i fiori maschili e i femminili su individui diversi."
"Distiche","Rami, fiori o foglie inseriti o diretti solo a due lati opposti sopra un asse comune."
"Distici","Situati su due lati opposti di un asse comune."
"Drupa","Frutto la cui parte esterna è sottile e membranosa, quella mediana carnosa e quella interna, contenente il seme, legnosa o ossea (es Pesca)."
"Embricato","Disposto secondo una parziale sovrapposizione, quando uno dei petali (o dei sepali) si sovrappone leggermente a embrice sia a destra sia a sinistra, sui margini dei petali (o sepali) adiacenti, mentre un altro petalo viene ricoperto in modo analogo su entrambi i lati e quelli rimanenti risultano da un lato coprenti e dall'altro ricoperti."
"Emetico","Che provoca il vomito."
"Emiparassita","Piante che si procurano parte delle sostanze alimentari con la fotosintesi ma che assorbono dalla pianta ospite acqua e sali minerali."
